purpose,isjointapplication,loanamount,interestrate,monthlypayment,grade,residentialstate,homeownership,annualincome,incomeverified,dtiratio,lengthcredithistory,numtotalcreditlines,numopencreditlines,numopencreditlines1year,revolvingbalance,revolvingutilizationrate,numderogatoryrec,numdelinquency2years,numchargeoff1year,numinquiries6mon,loan_year,loan_month,loan_dayofweek,term_months,default_flag
other,0.0,16698.0,10.47,542,B1,FL,mortgage,55389,1,17.79,4,13,9.0,5,13905,60.61,0,0,0,0,2015,3,4,36.0,0
debtconsolidation,0.0,23215.0,11.64,767,A1,MO,mortgage,53728,0,20.26,2,15,14.0,7,15131,64.94,0,0,0,0,2014,7,2,36.0,0
debtconsolidation,0.0,17546.0,9.08,437,C1,WV,rent,48253,1,13.51,33,22,15.0,9,17295,55.75,0,0,0,0,2014,10,4,48.0,0
debtconsolidation,0.0,15982.0,12.08,421,C2,DC,rent,56662,1,21.81,1,17,13.0,6,14122,47.05,0,0,0,3,2016,1,2,48.0,0
debtconsolidation,0.0,16206.0,5.78,312,C1,IL,mortgage,55462,0,20.39,18,20,19.0,13,15150,62.9,0,0,0,1,2015,5,4,60.0,0
healthcare,0.0,21696.0,13.91,504,C1,MA,rent,59051,1,14.46,32,18,16.0,16,9165,45.77,0,0,0,1,2016,5,6,60.0,0
debtconsolidation,0.0,17128.0,7.34,532,B2,AZ,mortgage,58904,1,18.47,7,18,11.0,9,13157,75.36,0,0,0,1,2015,4,2,36.0,0
debtconsolidation,0.0,20600.0,4.69,343,C1,KY,rent,61213,1,20.07,4,15,14.0,13,15310,88.13,0,11,9,1,2015,10,5,60.0,0
debtconsolidation,0.0,11801.0,15.9,286,C2,UT,rent,52860,1,31.73,4,18,17.0,13,12314,59.9,0,10,7,1,2015,10,0,60.0,1
debtconsolidation,0.0,28490.0,8.05,893,C2,KY,rent,52431,0,20.59,9,9,7.0,7,14109,50.82,1,2,1,2,2014,5,4,36.0,0
other,0.0,23260.0,8.53,574,A1,DC,mortgage,60755,0,12.95,16,9,8.0,8,17636,83.13,1,0,0,0,2015,1,3,48.0,0
debtconsolidation,0.0,32719.0,18.78,845,D3,NY,mortgage,52107,1,19.66,4,13,7.0,4,7481,50.87,0,12,9,2,2014,12,0,60.0,1
debtconsolidation,0.0,29055.0,8.34,714,C2,NY,mortgage,54844,1,14.78,5,15,12.0,11,11528,57.17,1,3,2,0,2015,3,6,48.0,1
debtconsolidation,0.0,8384.0,11.01,182,B3,MA,mortgage,50681,1,8.43,3,8,5.0,4,14542,86.37,2,0,0,2,2016,1,2,60.0,0
debtconsolidation,0.0,30062.0,11.95,791,D2,NY,rent,60914,0,14.22,2,13,9.0,8,14865,68.08,0,1,1,0,2015,12,3,48.0,0
debtconsolidation,0.0,16469.0,8.15,335,B3,VA,rent,58589,0,21.99,5,15,10.0,5,14990,55.33,5,0,0,0,2015,1,3,60.0,0
other,0.0,23432.0,5.75,710,B2,NH,mortgage,54449,1,16.14,36,17,10.0,9,16617,58.44,0,0,0,0,2014,8,1,36.0,0
debtconsolidation,0.0,24422.0,20.95,660,A2,ME,own,52667,1,25.6,7,15,12.0,10,14564,60.42,0,1,1,0,2014,7,0,60.0,1
homeimprovement,0.0,21301.0,11.6,557,C3,RI,own,54455,1,22.17,32,10,9.0,7,11289,26.9,0,0,0,0,2016,3,4,48.0,0
debtconsolidation,0.0,15271.0,20.18,406,C3,MS,rent,53432,1,21.38,16,11,9.0,5,12392,41.83,0,0,0,3,2016,2,5,60.0,1
debtconsolidation,0.0,29003.0,6.95,694,C2,MD,mortgage,51990,0,19.47,7,18,15.0,7,12290,66.7,0,0,0,0,2015,2,6,48.0,0
homeimprovement,0.0,15777.0,14.63,372,C2,LA,own,53239,1,14.8,5,22,21.0,15,15580,29.34,0,0,0,1,2014,6,3,60.0,0
debtconsolidation,0.0,23837.0,10.07,605,C3,VA,rent,53319,1,20.02,3,13,11.0,6,15429,64.96,0,4,3,1,2015,4,1,48.0,0
debtconsolidation,0.0,25472.0,10.75,831,E2,MT,mortgage,58731,1,15.29,1,12,7.0,5,14099,48.05,1,0,0,7,2015,5,0,36.0,0
debtconsolidation,0.0,21773.0,15.07,519,E3,CT,own,57482,1,19.04,4,14,10.0,5,16233,89.08,0,1,1,0,2014,10,0,60.0,0
debtconsolidation,0.0,23275.0,9.05,484,B2,SD,own,51702,0,17.53,9,19,15.0,8,10389,95.57,0,0,0,0,2016,2,6,60.0,0
auto,0.0,22767.0,9.04,473,B1,CT,own,56116,1,21.32,3,16,12.0,5,12656,75.32,0,0,0,0,2015,7,4,60.0,0
debtconsolidation,1.0,24065.0,9.3,602,E1,TN,mortgage,54501,1,17.24,7,14,7.0,6,9503,71.03,0,0,0,1,2014,5,3,48.0,1
other,0.0,28823.0,15.89,1012,A2,CA,rent,56607,1,13.76,4,20,16.0,6,15852,68.14,0,0,0,0,2014,9,4,36.0,0
debtconsolidation,0.0,28762.0,10.19,931,B1,MI,own,52954,1,17.95,25,14,8.0,5,12655,91.02,1,0,0,1,2015,7,0,36.0,0
debtconsolidation,0.0,25403.0,5.52,485,D1,RI,rent,50053,1,15.87,7,14,10.0,5,13254,63.68,6,12,9,1,2015,7,0,60.0,1
debtconsolidation,0.0,14504.0,4.56,331,C1,NJ,rent,52096,1,15.87,1,13,10.0,7,13461,67.32,0,0,0,0,2015,8,0,48.0,0
debtconsolidation,0.0,17725.0,7.87,432,E3,IL,rent,55952,0,15.93,23,15,9.0,8,14966,57.81,0,3,2,3,2014,12,1,48.0,0
debtconsolidation,0.0,21534.0,12.89,489,A2,UT,mortgage,57783,0,17.27,9,16,12.0,7,16362,76.19,0,0,0,1,2016,1,4,60.0,0
debtconsolidation,0.0,30939.0,14.96,1072,C3,CA,mortgage,51558,0,12.86,5,19,18.0,13,12368,86.85,0,0,0,0,2015,9,6,36.0,1
debtconsolidation,0.0,16450.0,8.71,521,D1,ME,mortgage,56185,1,16.02,3,16,14.0,10,12596,77.64,0,0,0,0,2016,6,0,36.0,0
debtconsolidation,0.0,27345.0,8.77,565,A2,DC,rent,56831,0,15.68,2,18,10.0,6,16272,59.36,0,4,3,0,2015,9,1,60.0,0
business,0.0,16950.0,14.89,471,A3,NM,own,57250,0,14.53,7,15,9.0,5,18652,65.34,0,6,6,0,2014,9,1,48.0,0
debtconsolidation,0.0,33318.0,11.66,735,A1,WA,mortgage,54632,1,27.4,2,17,12.0,7,13626,75.11,0,0,0,0,2014,7,1,60.0,0
debtconsolidation,0.0,25273.0,11.28,657,A1,CA,rent,56157,1,18.51,5,14,8.0,5,16593,47.31,0,0,0,1,2015,10,0,48.0,0
debtconsolidation,0.0,15508.0,9.23,495,E2,FL,rent,57137,1,22.79,4,14,13.0,7,16288,87.02,0,0,0,0,2015,2,3,48.0,1
debtconsolidation,0.0,23161.0,7.21,461,E3,OK,mortgage,55316,1,28.73,5,15,8.0,5,18740,100.0,0,0,0,2,2014,11,5,60.0,0
debtconsolidation,0.0,18192.0,11.54,400,B1,FL,mortgage,55980,1,16.06,33,21,15.0,7,14070,47.57,0,0,0,0,2014,10,1,60.0,0
business,0.0,13953.0,6.16,271,E1,KS,rent,52858,1,14.28,3,9,8.0,6,9830,77.85,14,0,0,0,2016,6,5,60.0,1
debtconsolidation,0.0,17272.0,14.1,591,E1,MD,rent,53127,0,20.45,4,19,11.0,5,19583,42.95,0,18,11,1,2015,2,6,36.0,0
debtconsolidation,0.0,20528.0,11.53,677,B3,MT,own,57422,0,16.09,2,17,16.0,16,13452,82.83,0,15,15,0,2015,11,6,36.0,0
debtconsolidation,0.0,24891.0,8.94,791,D1,FL,own,55674,1,15.94,1,17,14.0,8,10410,88.19,0,0,0,13,2015,3,0,36.0,1
debtconsolidation,0.0,19806.0,16.68,568,C1,WI,mortgage,59686,1,19.89,18,18,11.0,7,8944,34.28,0,7,6,0,2015,11,0,48.0,0
debtconsolidation,0.0,32204.0,12.89,862,D1,DC,own,58295,1,11.64,1,15,9.0,7,13680,72.12,0,1,1,1,2016,1,5,48.0,1
debtconsolidation,0.0,20132.0,5.91,612,D1,CA,mortgage,59215,0,15.27,26,17,9.0,9,13256,75.02,0,0,0,0,2015,3,1,36.0,0
debtconsolidation,0.0,20459.0,11.26,672,B3,ND,own,55104,0,15.33,7,17,11.0,6,14243,45.48,0,0,0,1,2015,5,0,36.0,0
debtconsolidation,0.0,27605.0,9.86,889,D1,CT,mortgage,54401,0,12.56,9,15,13.0,7,13688,64.21,0,0,0,1,2016,4,1,36.0,0
homeimprovement,0.0,22794.0,7.28,454,B2,MA,mortgage,55022,1,16.43,2,10,7.0,4,11092,82.08,0,0,0,0,2014,11,3,60.0,0
debtconsolidation,0.0,25461.0,5.44,591,C3,WI,own,50623,0,20.09,27,19,19.0,11,17215,46.11,10,0,0,2,2015,8,2,48.0,0
debtconsolidation,0.0,20600.0,30.15,525,C3,KY,own,50523,0,28.67,6,14,8.0,6,13992,91.43,0,0,0,1,2014,8,3,48.0,1
other,0.0,16822.0,8.97,535,C2,TN,own,56425,1,18.7,1,16,15.0,12,15493,64.45,4,0,0,1,2014,6,5,36.0,0
debtconsolidation,0.0,25336.0,9.53,532,E3,DC,own,53250,1,18.62,7,18,14.0,11,8852,35.75,0,0,0,1,2014,6,4,60.0,0
debtconsolidation,0.0,16559.0,8.94,412,D3,NH,mortgage,52738,1,20.6,5,16,13.0,8,14813,52.69,0,6,5,0,2014,6,1,48.0,1
debtconsolidation,0.0,20600.0,8.38,450,E3,TX,rent,53106,1,17.26,4,21,13.0,7,15062,75.74,0,0,0,0,2014,8,1,48.0,0
debtconsolidation,1.0,16931.0,12.05,446,C3,MN,own,57525,0,12.86,8,12,11.0,9,12754,77.04,0,0,0,0,2016,4,5,48.0,0
debtconsolidation,0.0,15145.0,10.12,323,A1,IN,rent,54792,1,17.56,1,20,17.0,12,8837,42.42,0,0,0,0,2016,6,2,60.0,0
auto,0.0,19519.0,11.96,434,A3,DC,own,55749,1,10.2,1,14,13.0,6,15868,74.66,0,0,0,1,2015,8,6,60.0,0
other,0.0,25195.0,9.98,639,B3,IL,mortgage,52826,0,19.02,9,16,14.0,8,17647,78.25,0,0,0,0,2015,1,4,48.0,0
debtconsolidation,0.0,21483.0,7.64,521,E1,TX,own,53991,0,15.25,5,13,7.0,6,12947,81.42,0,19,11,0,2015,9,4,48.0,1
business,0.0,19390.0,10.99,635,E2,CA,own,52955,0,17.97,2,15,13.0,10,14117,56.9,6,1,1,0,2015,10,4,36.0,0
debtconsolidation,0.0,22756.0,4.93,429,B1,RI,own,55081,1,22.99,9,17,11.0,4,14030,59.46,0,1,1,0,2015,2,6,60.0,0
debtconsolidation,0.0,14523.0,15.41,349,E3,MO,mortgage,57136,0,7.85,35,11,10.0,9,12586,92.21,0,9,7,2,2016,2,0,60.0,0
debtconsolidation,0.0,15622.0,16.15,444,A2,ID,mortgage,55045,0,19.14,5,11,10.0,8,15441,67.86,0,0,0,1,2016,5,2,48.0,0
debtconsolidation,0.0,12810.0,10.62,329,B3,NE,mortgage,55628,0,14.51,20,14,9.0,4,12896,100.0,0,0,0,3,2016,2,0,48.0,0
debtconsolidation,0.0,20594.0,5.41,621,B2,GA,rent,52770,1,22.03,1,15,12.0,12,16110,73.71,0,0,0,0,2016,5,0,36.0,0
debtconsolidation,0.0,19168.0,14.3,449,A1,DC,own,50886,1,15.9,23,15,12.0,12,16781,50.31,4,0,0,0,2016,6,5,60.0,0
auto,0.0,16724.0,12.18,442,A1,PA,own,55088,0,23.55,2,8,7.0,3,13824,84.76,1,0,0,0,2015,7,1,48.0,0
debtconsolidation,0.0,19596.0,11.66,648,A3,CT,own,59110,1,9.13,28,17,16.0,9,14795,76.21,0,7,5,0,2014,6,6,36.0,0
debtconsolidation,0.0,19321.0,7.43,600,E1,OK,rent,58228,1,23.92,2,15,8.0,4,14532,54.65,0,0,0,1,2016,2,1,36.0,0
debtconsolidation,0.0,19122.0,15.65,461,C3,IN,own,51337,1,13.64,4,21,12.0,11,13050,65.72,0,0,0,5,2016,3,1,60.0,0
homeimprovement,0.0,19884.0,18.89,593,B2,NE,rent,55717,0,17.17,4,19,16.0,15,12528,62.22,1,0,0,0,2014,8,3,48.0,0
debtconsolidation,0.0,27630.0,11.76,915,B3,IL,rent,57284,1,17.9,30,14,9.0,3,14892,47.18,0,0,0,0,2016,5,4,36.0,0
homeimprovement,0.0,25152.0,8.03,789,B3,NY,mortgage,58439,0,17.76,8,17,13.0,11,15628,82.16,0,9,7,1,2016,2,4,36.0,0
education,0.0,22027.0,7.26,683,B2,NJ,mortgage,51546,1,21.08,1,12,10.0,4,15792,67.49,0,0,0,0,2015,6,4,36.0,0
debtconsolidation,0.0,19550.0,6.13,596,A2,MD,own,57425,1,27.17,39,12,7.0,3,15783,67.76,1,0,0,0,2015,1,2,36.0,0
debtconsolidation,0.0,13719.0,11.52,358,A2,TX,mortgage,52463,1,16.94,4,15,9.0,7,16375,35.23,0,0,0,0,2014,9,1,48.0,0
debtconsolidation,0.0,23835.0,13.99,651,C1,MD,mortgage,60972,1,23.83,3,16,9.0,9,12402,73.33,0,0,0,0,2015,2,4,48.0,0
debtconsolidation,0.0,20941.0,7.83,510,C1,MD,mortgage,54452,1,24.91,9,20,17.0,11,11570,69.53,0,0,0,1,2016,5,1,48.0,1
debtconsolidation,0.0,18575.0,6.55,364,D3,NY,own,55380,1,20.42,4,16,11.0,10,17218,73.29,8,3,2,0,2015,8,6,60.0,0
debtconsolidation,0.0,16348.0,11.92,363,C3,VT,own,55795,1,12.04,1,7,6.0,6,13251,75.05,0,0,0,1,2014,12,2,60.0,0
debtconsolidation,0.0,18065.0,14.38,621,D1,TN,own,49349,1,18.39,4,7,6.0,3,12111,53.64,0,0,0,0,2014,10,1,36.0,0
debtconsolidation,0.0,26181.0,23.65,1022,D1,KY,own,51837,1,7.25,2,18,17.0,13,14223,60.06,1,0,0,0,2015,4,3,36.0,1
debtconsolidation,0.0,25994.0,11.3,676,A2,WV,mortgage,55953,0,15.47,4,14,13.0,8,14734,50.02,0,6,5,1,2014,6,4,48.0,0
debtconsolidation,0.0,23480.0,4.68,700,B3,NH,rent,55491,1,16.3,2,14,11.0,9,12408,55.1,0,0,0,1,2016,3,6,36.0,0
debtconsolidation,0.0,20002.0,17.9,507,A3,CA,own,57298,0,14.22,3,16,13.0,7,17745,62.65,0,0,0,0,2016,1,6,60.0,0
debtconsolidation,0.0,21391.0,15.92,751,E1,CO,rent,55207,1,16.11,7,18,15.0,10,15834,46.48,0,0,0,1,2015,3,3,36.0,0
debtconsolidation,0.0,22528.0,9.24,719,E1,MA,rent,54704,0,15.28,2,6,4.0,3,12552,70.75,0,0,0,16,2014,12,2,36.0,0
debtconsolidation,0.0,16177.0,9.96,343,B3,NY,own,51526,0,17.1,3,11,9.0,5,14264,64.39,0,0,0,12,2014,8,2,60.0,0
debtconsolidation,1.0,21922.0,9.23,699,D1,ID,rent,56325,0,20.4,30,9,7.0,5,17043,53.14,0,1,1,0,2015,8,3,36.0,0
debtconsolidation,0.0,20261.0,5.97,616,D3,DC,rent,58184,0,9.66,33,14,10.0,4,16140,69.23,4,1,1,0,2014,9,1,36.0,0
debtconsolidation,0.0,16612.0,13.4,563,C1,NH,rent,55028,0,12.33,8,12,12.0,10,20119,82.34,0,0,0,0,2016,5,6,36.0,0
debtconsolidation,0.0,20600.0,6.01,389,C3,NE,rent,54224,1,21.08,10,23,14.0,8,13508,72.29,0,0,0,4,2015,9,2,60.0,0
debtconsolidation,0.0,13237.0,14.84,458,E3,OH,own,63325,1,22.23,22,13,10.0,6,14905,90.38,4,0,0,0,2015,6,6,36.0,0
debtconsolidation,0.0,21432.0,14.65,506,A3,MI,mortgage,55704,0,22.88,33,13,10.0,6,15815,80.17,0,0,0,1,2016,1,5,60.0,0
debtconsolidation,0.0,23683.0,12.68,632,A2,MO,mortgage,54208,1,11.15,36,11,7.0,6,15134,63.54,0,0,0,0,2016,5,4,48.0,0
homeimprovement,0.0,17063.0,7.37,412,A2,IN,own,57149,1,26.2,1,17,12.0,7,15306,79.42,0,0,0,0,2016,4,5,48.0,0
auto,0.0,22618.0,10.64,488,A3,RI,mortgage,55380,1,20.51,5,13,12.0,7,15473,66.65,0,1,1,0,2016,5,2,60.0,0
debtconsolidation,0.0,18791.0,18.49,557,D2,AR,own,56035,0,18.82,6,18,14.0,6,12886,65.51,0,0,0,1,2014,7,4,48.0,0
debtconsolidation,0.0,19616.0,12.69,443,A3,ND,own,55704,1,24.72,33,20,11.0,11,15543,61.43,0,2,2,0,2016,6,2,60.0,0
debtconsolidation,0.0,18755.0,13.75,510,B2,NY,mortgage,53843,0,12.32,9,17,16.0,12,12857,68.66,0,0,0,0,2016,5,0,48.0,0
debtconsolidation,0.0,22048.0,15.56,770,C1,CT,own,53518,1,16.25,3,15,11.0,11,19042,74.05,0,0,0,0,2016,2,6,36.0,0
debtconsolidation,0.0,23754.0,10.92,777,D3,FL,mortgage,55876,1,22.01,2,12,12.0,4,11791,53.86,0,0,0,0,2015,10,3,36.0,0
debtconsolidation,0.0,20141.0,9.38,644,B3,IA,own,52239,1,22.06,9,14,10.0,7,17049,44.3,0,1,1,1,2014,7,3,36.0,0
debtconsolidation,0.0,25775.0,24.92,755,E2,DC,mortgage,52036,1,10.86,30,17,15.0,12,14393,55.1,0,0,0,17,2015,4,3,60.0,1
debtconsolidation,1.0,15491.0,8.06,486,D2,DC,rent,52884,1,17.0,9,16,13.0,13,11742,50.2,1,0,0,1,2015,6,3,36.0,0
debtconsolidation,0.0,16704.0,8.49,412,E2,TX,own,55147,1,18.7,5,12,10.0,10,14697,79.35,0,17,16,11,2014,5,2,48.0,0
homeimprovement,0.0,20643.0,6.22,487,C1,IA,mortgage,62046,1,28.94,16,15,9.0,9,19951,85.31,5,0,0,0,2016,4,5,48.0,0
debtconsolidation,0.0,22420.0,11.81,743,C2,DC,own,56333,1,20.18,5,11,8.0,3,11875,72.22,0,3,2,1,2016,1,4,36.0,0
debtconsolidation,0.0,25941.0,12.62,691,A1,MA,rent,56435,1,12.51,5,15,8.0,7,16707,75.1,1,0,0,0,2015,8,1,48.0,0
debtconsolidation,0.0,19561.0,5.64,375,C2,TX,rent,56533,1,18.13,6,18,10.0,4,12625,49.37,0,0,0,0,2016,1,1,60.0,0
debtconsolidation,0.0,16363.0,13.35,375,C1,OR,rent,53027,1,20.15,2,20,14.0,7,12376,68.68,14,0,0,0,2015,12,2,60.0,0
debtconsolidation,0.0,20284.0,10.21,433,A2,NY,own,50497,1,5.62,7,17,9.0,7,17723,62.9,0,0,0,0,2014,11,1,60.0,0
debtconsolidation,0.0,22484.0,14.63,622,B1,TX,own,55168,1,22.48,26,22,22.0,19,13690,83.4,0,0,0,2,2014,8,5,48.0,0
debtconsolidation,0.0,18775.0,8.36,591,B1,WI,mortgage,52039,1,19.93,3,20,17.0,12,17728,71.28,0,2,1,1,2015,6,0,36.0,0
debtconsolidation,0.0,17082.0,16.68,422,A2,MA,rent,51368,1,16.92,14,10,10.0,5,13437,59.39,0,11,8,0,2015,12,3,60.0,0
debtconsolidation,0.0,19083.0,9.25,477,B3,CO,mortgage,51031,1,11.11,3,6,5.0,3,14368,39.46,8,0,0,0,2016,1,3,48.0,0
debtconsolidation,0.0,28427.0,15.84,997,A3,CA,mortgage,53467,0,8.34,1,12,11.0,10,18825,55.62,0,0,0,6,2014,8,1,36.0,0
debtconsolidation,0.0,21546.0,4.58,642,B3,IN,mortgage,56342,0,10.29,2,12,10.0,7,19812,59.97,0,0,0,1,2016,3,5,36.0,0
debtconsolidation,0.0,21932.0,9.36,550,D1,ID,own,57569,1,21.58,21,17,17.0,11,15975,64.53,0,0,0,1,2014,8,6,48.0,0
debtconsolidation,0.0,18862.0,25.82,634,E2,MI,own,50914,1,21.63,4,12,10.0,7,13877,49.53,0,0,0,0,2016,3,4,48.0,1
debtconsolidation,0.0,16074.0,10.4,522,B1,NE,rent,53980,1,21.33,8,17,14.0,8,15439,80.49,0,0,0,8,2014,11,1,36.0,0
healthcare,0.0,19418.0,9.83,491,B2,FL,own,51726,1,7.4,30,16,13.0,11,12579,69.48,0,0,0,0,2014,5,1,48.0,0
debtconsolidation,0.0,21846.0,6.64,429,B1,RI,rent,49768,1,17.31,1,7,7.0,3,11589,66.23,0,0,0,1,2016,5,1,60.0,0
debtconsolidation,0.0,27570.0,13.21,932,B1,OR,own,55040,0,19.52,10,14,7.0,4,12033,87.88,0,0,0,0,2015,8,5,36.0,0
debtconsolidation,0.0,28401.0,13.9,775,B2,MO,own,51554,0,19.06,2,7,7.0,5,18002,83.67,2,1,1,1,2016,4,4,48.0,0
debtconsolidation,0.0,19348.0,16.12,550,D1,GA,rent,58539,1,10.64,1,15,10.0,9,13884,72.19,7,0,0,0,2016,4,6,48.0,0
debtconsolidation,0.0,20439.0,5.9,621,C2,FL,own,57601,0,11.92,3,13,10.0,6,18818,62.71,1,0,0,0,2016,6,2,36.0,0
debtconsolidation,0.0,21706.0,9.63,547,B1,FL,rent,54825,1,14.03,1,16,9.0,7,12567,75.72,0,0,0,11,2014,9,3,48.0,1
homeimprovement,0.0,21662.0,8.26,681,A1,NV,mortgage,57742,0,18.05,24,10,6.0,4,11041,100.0,0,1,1,0,2015,6,0,36.0,0
debtconsolidation,0.0,14320.0,6.16,437,B2,FL,rent,55802,1,18.89,20,15,10.0,9,14763,93.75,0,0,0,0,2015,5,1,36.0,0
other,0.0,23030.0,18.03,677,D1,VA,rent,52675,1,22.34,5,20,11.0,9,13724,56.57,0,0,0,1,2014,10,3,48.0,0
debtconsolidation,0.0,27505.0,13.65,635,A2,OR,mortgage,56301,0,5.98,9,17,12.0,8,14887,41.6,0,0,0,1,2014,6,5,60.0,0
debtconsolidation,0.0,29387.0,7.42,709,B3,RI,mortgage,49472,0,8.27,6,16,8.0,6,15110,50.32,0,0,0,14,2014,9,6,48.0,0
homeimprovement,0.0,23769.0,20.07,631,C1,SC,mortgage,56537,0,9.55,8,11,8.0,6,15885,42.21,0,0,0,0,2015,9,3,60.0,0
debtconsolidation,0.0,22892.0,23.62,742,D3,OR,mortgage,57861,1,16.61,3,13,10.0,7,7424,50.66,13,13,11,0,2016,2,5,48.0,1
debtconsolidation,0.0,25388.0,9.33,531,E3,FL,mortgage,60286,1,26.58,6,11,6.0,2,15639,63.45,0,1,1,0,2015,2,1,60.0,0
debtconsolidation,0.0,22253.0,5.35,516,B3,ME,rent,54576,0,8.7,35,9,8.0,5,17365,51.05,0,0,0,1,2015,1,2,48.0,0
debtconsolidation,0.0,21738.0,8.12,532,B2,NE,mortgage,53732,1,7.34,5,21,11.0,7,19521,72.88,0,19,16,0,2015,3,6,48.0,0
debtconsolidation,1.0,17098.0,13.0,459,E1,WV,own,55984,0,15.64,5,13,7.0,5,15302,86.74,15,1,1,1,2016,2,0,48.0,1
business,0.0,19537.0,4.9,368,B3,TN,own,57090,1,9.42,2,16,10.0,6,16214,58.57,0,0,0,1,2015,5,0,60.0,0
debtconsolidation,0.0,18309.0,12.51,412,D3,NM,rent,59595,1,14.0,3,16,9.0,8,14583,67.96,0,1,1,1,2015,3,0,60.0,0
business,0.0,19046.0,6.91,376,C2,AR,mortgage,56038,1,19.4,35,14,9.0,8,17211,68.3,0,1,1,0,2014,7,3,60.0,0
other,0.0,19147.0,6.52,375,E3,UT,own,55642,1,22.59,1,15,12.0,6,10934,63.61,0,0,0,0,2014,11,6,60.0,1
debtconsolidation,0.0,18881.0,11.93,497,A2,VT,mortgage,54809,0,12.12,5,13,8.0,8,15681,65.12,0,0,0,0,2015,4,1,48.0,0
homeimprovement,0.0,22060.0,10.27,472,B2,IA,rent,58931,1,23.61,5,15,10.0,7,11946,76.87,0,2,2,1,2014,6,4,60.0,0
other,0.0,21523.0,15.16,514,E3,CA,mortgage,56393,0,10.62,3,18,14.0,8,14415,72.24,0,5,4,0,2016,1,5,60.0,0
debtconsolidation,0.0,22844.0,7.34,709,A1,NE,own,57308,0,18.26,3,15,8.0,6,13031,66.34,0,0,0,0,2015,12,3,36.0,0
debtconsolidation,0.0,16972.0,15.84,480,C3,OH,own,60922,0,22.41,6,8,7.0,7,17362,78.65,0,0,0,0,2015,7,0,48.0,0
auto,0.0,17796.0,12.27,593,A3,KS,mortgage,52304,1,21.05,34,19,14.0,10,14233,75.93,0,0,0,0,2016,3,3,36.0,0
debtconsolidation,0.0,20672.0,9.31,432,A1,CA,mortgage,58299,0,10.17,8,14,9.0,6,19138,83.53,0,0,0,0,2015,3,3,60.0,0
debtconsolidation,0.0,23967.0,8.64,592,A2,TN,mortgage,52381,0,19.52,1,17,10.0,8,13700,94.07,4,0,0,0,2015,9,1,48.0,0
homeimprovement,0.0,20000.0,5.27,602,E3,CA,mortgage,55035,1,21.74,36,11,6.0,6,11297,50.98,0,0,0,0,2015,5,3,36.0,0
debtconsolidation,0.0,27220.0,13.57,627,B3,ME,own,50830,1,14.48,31,16,15.0,6,12580,63.24,0,0,0,0,2015,7,5,60.0,0
business,0.0,17771.0,12.77,402,E1,KS,rent,48139,1,18.23,4,14,14.0,9,11961,60.91,1,2,2,0,2014,8,2,60.0,1
debtconsolidation,0.0,29778.0,7.78,601,D1,MS,rent,56746,0,9.24,32,17,13.0,8,14329,74.88,0,0,0,0,2015,5,6,60.0,0
debtconsolidation,0.0,28404.0,6.15,866,D3,CA,own,56319,1,23.24,25,16,15.0,13,11460,93.41,0,1,1,2,2016,4,6,36.0,0
debtconsolidation,0.0,21656.0,6.76,516,B1,NH,rent,57305,1,17.46,22,18,13.0,6,18205,69.79,0,0,0,0,2014,7,2,48.0,0
debtconsolidation,0.0,11522.0,21.57,360,D1,CA,mortgage,54878,0,21.58,30,9,7.0,7,15223,68.6,0,0,0,1,2015,7,2,48.0,0
debtconsolidation,0.0,29353.0,9.5,737,D1,FL,mortgage,55230,1,18.4,11,20,13.0,13,16472,72.84,0,0,0,0,2014,7,3,48.0,0
debtconsolidation,0.0,15433.0,8.24,315,E3,NY,rent,55501,1,18.42,8,13,12.0,11,13484,74.89,0,0,0,0,2015,4,5,60.0,0
debtconsolidation,0.0,22989.0,9.39,482,D3,IL,own,59615,0,12.39,24,15,13.0,6,14607,68.08,2,0,0,0,2015,9,6,60.0,0
debtconsolidation,0.0,21085.0,15.45,507,E2,MI,rent,54488,0,20.78,2,10,9.0,5,14495,73.37,0,0,0,0,2016,4,3,60.0,0
debtconsolidation,0.0,29148.0,9.74,937,C3,NY,mortgage,52413,1,21.3,7,16,9.0,9,13166,80.65,0,0,0,0,2015,5,3,36.0,0
debtconsolidation,0.0,14807.0,11.8,490,B1,TX,mortgage,63300,1,12.73,3,7,4.0,3,13914,65.68,0,0,0,0,2015,10,5,36.0,0
other,0.0,11728.0,7.64,236,A1,CO,rent,54485,0,28.11,39,14,13.0,11,14465,65.67,0,0,0,0,2015,2,6,60.0,0
debtconsolidation,0.0,12051.0,10.5,309,C1,RI,rent,55910,0,22.57,9,8,7.0,6,13734,89.42,9,0,0,3,2016,1,6,48.0,1
debtconsolidation,0.0,17109.0,8.24,538,B1,SD,rent,47129,1,23.91,2,20,14.0,7,16043,62.79,0,4,3,1,2016,1,3,36.0,0
debtconsolidation,0.0,21642.0,6.07,509,A3,NC,mortgage,56701,1,17.89,12,14,10.0,5,15968,53.57,0,7,7,0,2014,8,4,48.0,0
debtconsolidation,0.0,19688.0,7.68,614,A3,CT,rent,53078,0,26.31,14,2,1.0,1,18883,43.32,0,0,0,0,2015,1,2,36.0,0
debtconsolidation,0.0,30793.0,9.36,984,D1,DC,own,49754,1,18.48,2,20,18.0,18,10589,30.98,1,0,0,1,2015,2,5,36.0,1
